Age,Forest,Size,Config,Value
55,natural_forest,small,central,333.4
56,natural_forest,small,central,335.4
57,natural_forest,small,central,337.4
58,natural_forest,small,central,339.4
59,natural_forest,small,central,341.4
60,natural_forest,small,central,343.4
61,natural_forest,small,central,345.4
62,natural_forest,small,central,347.4
63,natural_forest,small,central,349.4
64,natural_forest,small,central,351.4
65,natural_forest,small,central,353.4
66,natural_forest,small,central,355.4
67,natural_forest,small,central,357.4
68,natural_forest,small,central,359.4
69,natural_forest,small,central,361.4
70,natural_forest,small,central,363.4
71,natural_forest,small,central,365.4
72,natural_forest,small,central,367.4
73,natural_forest,small,central,369.4
74,natural_forest,small,central,371.4
75,natural_forest,small,central,373.4
76,natural_forest,small,central,375.4
77,natural_forest,small,central,377.4
78,natural_forest,small,central,379.4
79,natural_forest,small,central,381.4
80,natural_forest,small,central,383.4
81,natural_forest,small,central,385.4
82,natural_forest,small,central,387.4
83,natural_forest,small,central,389.4
84,natural_forest,small,central,391.4
85,natural_forest,small,central,393.4
86,natural_forest,small,central,395.4
87,natural_forest,small,central,397.4
88,natural_forest,small,central,399.4
89,natural_forest,small,central,401.4
90,natural_forest,small,central,403.4
91,natural_forest,small,central,405.4
92,natural_forest,small,central,407.4
93,natural_forest,small,central,409.4
94,natural_forest,small,central,411.4
95,natural_forest,small,central,413.4
96,natural_forest,small,central,415.4
97,natural_forest,small,central,417.4
98,natural_forest,small,central,419.4
99,natural_forest,small,central,421.4
100,natural_forest,small,central,423.4
101,natural_forest,small,central,425.4
102,natural_forest,small,central,427.4
103,natural_forest,small,central,429.4
104,natural_forest,small,central,431.4
105,natural_forest,small,central,433.4
106,natural_forest,small,central,435.4
107,natural_forest,small,central,437.4
108,natural_forest,small,central,439.4
109,natural_forest,small,central,441.4
110,natural_forest,small,central,443.4
1,permanent_exotic,large,central,0.51798984
2,permanent_exotic,large,central,2.58195045
3,permanent_exotic,large,central,8.08154758
4,permanent_exotic,large,central,26.28385572
5,permanent_exotic,large,central,57.84726725
6,permanent_exotic,large,central,101.8210935
7,permanent_exotic,large,central,152.5985056
8,permanent_exotic,large,central,203.4659702
9,permanent_exotic,large,central,249.89597
10,permanent_exotic,large,central,291.8674564
11,permanent_exotic,large,central,328.7023128
12,permanent_exotic,large,central,366.3063899
13,permanent_exotic,large,central,405.1713355
14,permanent_exotic,large,central,445.6191269
15,permanent_exotic,large,central,487.3017744
16,permanent_exotic,large,central,529.9276247
17,permanent_exotic,large,central,573.3357054
18,permanent_exotic,large,central,617.0867957
19,permanent_exotic,large,central,660.8726767
20,permanent_exotic,large,central,704.2158199
21,permanent_exotic,large,central,747.3591191
22,permanent_exotic,large,central,790.4781495
23,permanent_exotic,large,central,833.7982108
24,permanent_exotic,large,central,877.0735142
25,permanent_exotic,large,central,920.0261623
26,permanent_exotic,large,central,962.7295196
27,permanent_exotic,large,central,1005.051398
28,permanent_exotic,large,central,1046.91644
29,permanent_exotic,large,central,1088.286082
30,permanent_exotic,large,central,1129.092916
31,permanent_exotic,large,central,1169.126184
32,permanent_exotic,large,central,1208.396691
